stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
11724,11724,RIVA RD & FOREST DR eb,,38.981269,-76.544364,,,0,,,0
11725,11725,WEST ST & HUDSON ST opp eb,,38.982672,-76.534211,,,0,,,0
11726,11726,WEST ST & PAROLE ST eb,,38.981213,-76.528642,,,0,,,0
11727,11727,WEST ST & CHINQUAPIN ROUND RD eb,,38.979881,-76.523671,,,0,,,0
11728,11728,WEST ST & LEGION AVE eb,,38.979076,-76.518278,,,0,,,0
11729,11729,WEST ST & CHERRY GROVE AVE (LIBRARY) eb,,38.977828,-76.514744,,,0,,,0
11730,11730,WEST ST & RUSSELL ST eb,,38.976938,-76.512066,,,0,,,0
11731,11731,WEST ST & AMOS GARRETT BLVD eb,,38.976169,-76.503757,,,0,,,0
11732,11732,WEST ST & MADISON PL eb,,38.976926,-76.501028,,,0,,,0
11733,11733,WEST ST & LAFAYETTE AVE (LOEWS HOTEL) eb,,38.977815,-76.497515,,,0,,,0
11734,11734,CALVERT ST & WEST ST fs nb,,38.978572,-76.495752,,,0,,,0
11735,11735,ROWE BLVD & TAYLOR AVE nb,,38.987110,-76.502711,,,0,,,0
11736,11736,OVERLOOK AVE & LABORATORY RD nb,,38.822912,-77.017263,,,0,,,0
11737,11737,S CAPITOL ST & MALCOLM X AVE eb,,38.845466,-77.008077,,,0,,,0
11738,11738,INDEPENDENCE AVE & 14TH ST SW wb,,38.887613,-77.031652,,,0,,,0
11739,11739,CONSTITUTION AVE & 15TH ST NW fs nb,,38.892151,-77.034952,,,0,,,0
11742,11742,18TH ST & F ST NW nb,,38.897316,-77.041522,,,0,,,0
11746,11746,M ST & 21ST ST NW wb,,38.905719,-77.046384,,,0,,,0
11748,11748,M ST & 25TH ST NW wb,,38.905311,-77.053616,,,0,,,0
11749,11749,ST CHARLES MALL & JC PENNEY,,38.617645,-76.928972,,,0,,,0
11751,11751,SMALLWOOD VILLAGE CTR,,38.601137,-76.902986,,,0,,,0
11752,11752,2ND ST & E CAPITOL ST (SUPREME COURT) sb,,38.889741,-77.003441,,,0,,,0
11754,11754,INDEPENDENCE AVE & NEW JERSEY AVE SE wb,,38.887689,-77.007876,,,0,,,0
11756,11756,14TH ST & CONSTITUTION AVE NW nb,,38.892107,-77.031753,,,0,,,0
11757,11757,14TH ST & E & PENN AVE NW mid nb,,38.895708,-77.031814,,,0,,,0
11758,11758,G ST & 14TH ST NW fs eb,,38.898037,-77.031878,,,0,,,0
11759,11759,PENNSYLVANIA AVE & 12TH ST NW eb,,38.894840,-77.028378,,,0,,,0
11760,11760,PENNSYLVANIA AVE & 9TH ST NW eb,,38.893602,-77.023458,,,0,,,0
11761,11761,PENNSYLVANIA AVE & 6TH ST NW eb,,38.892729,-77.020332,,,0,,,0
11762,11762,CONSTITUTION AVE & 3RD ST NW eb,,38.891954,-77.015604,,,0,,,0
11763,11763,N CAPITOL ST & E ST nb,,38.895996,-77.008916,,,0,,,0
11765,11765,CONSTITUTION AVE & 3RD ST NW wb,,38.892066,-77.016077,,,0,,,0
11767,11767,PENNSYLVANIA AVE & 9TH ST NW wb,,38.893973,-77.023712,,,0,,,0
11769,11769,14TH ST & PENNSYLVANIA AVE NW sb,,38.896329,-77.032093,,,0,,,0
11770,11770,INDEPENDENCE AVE & NEW JERSEY AVE SE eb,,38.887499,-77.008577,,,0,,,0
11771,11771,LOTTE PLAZA US 40 & US 29,,39.276458,-76.816911,,,0,,,0
11772,11772,HARPERS FARM RD & CEDAR LA eb,,39.221502,-76.889459,,,0,,,0
11773,11773,LITTLE PATUXENT & GRAY STAR wb,,39.212252,-76.896146,,,0,,,0
11774,11774,LITTLE PATUXENT & WHITE CORD WAY wb,,39.212408,-76.900951,,,0,,,0
11775,11775,LITTLE PATUXENT & BRIGHT PASSAGE eb,,39.206661,-76.899868,,,0,,,0
11776,11776,LITTLE PATUXENT & HICKORY RID nb,,39.209334,-76.894006,,,0,,,0
11777,11777,LITTLE PATUXENT & CEDAR LA eb,,39.214863,-76.887653,,,0,,,0
11779,11779,COLUMBIA MALL & SOUTH RING RD eb,,39.212966,-76.863549,,,0,,,0
11780,11780,LITTLE PATUXENT & GOV WARFIELD nb,,39.219995,-76.858725,,,0,,,0
11781,11781,LITTLE PATUXENT PKWY & VANTAGE POINT RD nb,,39.223906,-76.856852,,,0,,,0
11782,11782,BROKEN LAND & HICKORY RIDGE sb,,39.207108,-76.866981,,,0,,,0
11783,11783,BROKEN LAND PARK & RIDE,,39.174347,-76.850021,,,0,,,0
11784,11784,SCAGGSVILLE PARK & RIDE,,39.146785,-76.908691,,,0,,,0
11785,11785,BURTONSVILLE PARK & RIDE,,39.114106,-76.930596,,,0,,,0
11786,11786,COLESVILLE RD  & FENTON ST sb,,38.997903,-77.026981,,,0,,,0
11787,11787,SILVER SPRING METRO STATION,,38.994552,-77.030886,,,0,,,0
11788,11788,16TH ST & ASPEN ST NW sb,,38.973240,-77.036388,,,0,,,0
11789,11789,16TH ST & P ST NW,,38.909859,-77.036591,,,0,,,0
11790,11790,16TH ST & M ST NW,,38.905476,-77.036643,,,0,,,0
11791,11791,13TH ST & H ST NW sb,,38.899535,-77.029728,,,0,,,0
11793,11793,CONSTITUTION AVE & 10TH ST NW fs eb,,38.892168,-77.025794,,,0,,,0
11795,11795,M ST & 8 & 9TH STS mid eb,,38.876569,-76.994681,,,0,,,0
11796,11796,7TH ST & INDEPENDENCE AVE SW nb,,38.888081,-77.021747,,,0,,,0
11797,11797,CONSTITUTION AVE & 9TH ST NW wb,,38.892226,-77.023533,,,0,,,0
11798,11798,12TH ST & E ST NW nb,,38.896037,-77.027948,,,0,,,0
11801,11801,15TH ST & M & MASSACHUSETTS AVE NW mid nb,,38.906111,-77.034380,,,0,,,0
11803,11803,COLESVILLE RD & FENTON ST NW nb,,38.997987,-77.026707,,,0,,,0
11805,11805,TWIN RIVERS RD & HARPERS FARM RD fs eb,,39.219475,-76.879523,,,0,,,0
11806,11806,Twin Rivers & Jason La opp eb,,39.221203,-76.876917,,,0,,,0
11807,11807,TWIN RIVERS RD & TRUMPETER RD eb,,39.219156,-76.870305,,,0,,,0
11808,11808,THUNDER HILL & OAKLAND MILLS sb,,39.218395,-76.840643,,,0,,,0
11809,11809,WHITE ACRE RD & THUNDER HILL fs wb,,39.211751,-76.842045,,,0,,,0
11810,11810,OAKLAND MILLS & VILLAGE CTR sb,,39.209852,-76.846892,,,0,,,0
11811,11811,STEVENS FOREST & KILIMANJARO sb opp,,39.206005,-76.847257,,,0,,,0
11812,11812,STEVEN FOREST & FAREWELL RD opp sb,,39.201271,-76.847869,,,0,,,0
11813,11813,STEVEN FOREST & SOFT SHADE WAY sb,,39.198207,-76.850052,,,0,,,0
11814,11814,BROKEN LAND & CRADLEROCK N opp sb,,39.191781,-76.851838,,,0,,,0
11815,11815,BROKEN LAND & CRADLEROCK S sb,,39.185320,-76.850752,,,0,,,0
11816,11816,BROKEN LAND & SNOWDEN RIVER sb,,39.178183,-76.848237,,,0,,,0
11818,11818,16TH ST & HARVARD ST NW sb,,38.925646,-77.036546,,,0,,,0
11819,11819,NEW HAMPSHIRE & DUPONT CIR NW sb,,38.910584,-77.042684,,,0,,,0
11820,11820,19TH ST & M ST NW sb,,38.905713,-77.043328,,,0,,,0
11821,11821,CONSTITUTION AVE & 14TH ST NW eb,,38.892117,-77.031834,,,0,,,0
11833,11833,PATUXENT RANGE RD & STAYTON RD eb,,39.148763,-76.799487,,,0,,,0
11835,11835,SNOWDEN RIVER & OAKLAND MILLS eb,,39.178701,-76.828492,,,0,,,0
11836,11836,SNOWDEN RIVER PARK & RIDE,,39.192988,-76.811181,,,0,,,0
